onset_lsl,onset_s,duration_s,end_lsl,end_s,event_lsl_ts,event_time_s,type,channel,confidence,notes,finger_id,action_id,trial_id,block_id,source,onset_rel_s,end_rel_s
49427.134455,399.855893,5.932204,49433.066659,405.788097,49427.134455,399.855893,rest,n/a,,,0,0,1,1,manual,110.6717,116.6039
49439.150681,411.872119,8.146746,49447.297427,420.018865,49439.150681,411.872119,rest,n/a,,,0,0,2,1,manual,122.6880,130.8347
49477.123037,449.844475,1.242938,49478.365975,451.087413,49477.123037,449.844475,thumb_open,n/a,,,1,1,3,1,manual,160.6603,161.9032
49481.260428,453.981866,1.044435,49482.304864,455.026302,49481.260428,453.981866,thumb_open,n/a,,,1,1,4,1,manual,164.7977,165.8421
49484.217455,456.938893,1.138635,49485.356089,458.077528,49484.217455,456.938893,none_open,n/a,,,0,1,5,1,manual,167.7547,168.8934
49487.676428,460.397866,1.148009,49488.824437,461.545875,49487.676428,460.397866,thumb_open,n/a,,,1,1,6,1,manual,171.2137,172.3617
49491.626819,464.348257,1.200590,49492.827410,465.548848,49491.626819,464.348257,thumb_open,n/a,,,1,1,7,1,manual,175.1641,176.3647
49494.650682,467.372120,1.256163,49495.906845,468.628283,49494.650682,467.372120,thumb_open,n/a,,,1,1,8,1,manual,178.1880,179.4441
49498.105830,470.827268,1.143556,49499.249386,471.970824,49498.105830,470.827268,thumb_open,n/a,,,1,1,9,1,manual,181.6431,182.7867
49502.571701,475.293139,1.460836,49504.032538,476.753976,49502.571701,475.293139,thumb_open,n/a,,,1,1,10,1,manual,186.1090,187.5698
49506.083882,478.805321,1.538408,49507.622291,480.343729,49506.083882,478.805321,thumb_open,n/a,,,1,1,11,1,manual,189.6212,191.1596
49510.082432,482.803870,1.314809,49511.397241,484.118679,49510.082432,482.803870,thumb_open,n/a,,,1,1,12,1,manual,193.6197,194.9345
49514.349012,487.070450,1.320971,49515.669983,488.391421,49514.349012,487.070450,thumb_open,n/a,,,1,1,13,1,manual,197.8863,199.2073
49517.631026,490.352464,1.113746,49518.744772,491.466210,49517.631026,490.352464,thumb_open,n/a,,,1,1,14,1,manual,201.1683,202.2820
49520.749903,493.471341,1.172851,49521.922754,494.644192,49520.749903,493.471341,thumb_open,n/a,,,1,1,15,1,manual,204.2869,205.4600
49546.580696,519.302134,1.120294,49547.700990,520.422428,49546.580696,519.302134,thumb_close,n/a,,,1,2,16,1,manual,230.1180,231.2383
49549.372990,522.094428,1.135042,49550.508032,523.229470,49549.372990,522.094428,thumb_close,n/a,,,1,2,17,1,manual,232.9103,234.0453
49552.529250,525.250688,1.099477,49553.628727,526.350165,49552.529250,525.250688,thumb_close,n/a,,,1,2,18,1,manual,236.0665,237.1660
49555.683503,528.404941,1.100262,49556.783765,529.505203,49555.683503,528.404941,thumb_close,n/a,,,1,2,19,1,manual,239.2208,240.3210
49558.650450,531.371888,1.091533,49559.741984,532.463422,49558.650450,531.371888,thumb_close,n/a,,,1,2,20,1,manual,242.1877,243.2793
49561.956250,534.677688,1.160385,49563.116636,535.838074,49561.956250,534.677688,thumb_close,n/a,,,1,2,21,1,manual,245.4935,246.6539
49565.134129,537.855567,1.256253,49566.390382,539.111820,49565.134129,537.855567,thumb_close,n/a,,,1,2,22,1,manual,248.6714,249.9277
49570.010214,542.731652,1.285569,49571.295783,544.017221,49570.010214,542.731652,thumb_close,n/a,,,1,2,23,1,manual,253.5475,254.8331
49573.267185,545.988623,1.205452,49574.472637,547.194075,49573.267185,545.988623,thumb_close,n/a,,,1,2,24,1,manual,256.8045,258.0099
49577.071916,549.793354,1.179086,49578.251001,550.972439,49577.071916,549.793354,thumb_close,n/a,,,1,2,25,1,manual,260.6092,261.7883
49580.562606,553.284044,1.065978,49581.628584,554.350022,49580.562606,553.284044,thumb_close,n/a,,,1,2,26,1,manual,264.0999,265.1659
49583.727884,556.449322,1.156292,49584.884176,557.605614,49583.727884,556.449322,thumb_close,n/a,,,1,2,27,1,manual,267.2652,268.4214
49586.455584,559.177022,1.152934,49587.608518,560.329956,49586.455584,559.177022,thumb_close,n/a,,,1,2,28,1,manual,269.9929,271.1458
49589.865796,562.587234,1.157040,49591.022836,563.744274,49589.865796,562.587234,thumb_close,n/a,,,1,2,29,1,manual,273.4031,274.5601
49597.269832,569.991270,1.183612,49598.453445,571.174883,49597.269832,569.991270,index_open,n/a,,,2,1,30,1,manual,280.8071,281.9907
49600.387612,573.109050,1.039815,49601.427427,574.148865,49600.387612,573.109050,index_open,n/a,,,2,1,31,1,manual,283.9249,284.9647
49603.856285,576.577723,0.979511,49604.835795,577.557233,49603.856285,576.577723,index_open,n/a,,,2,1,32,1,manual,287.3936,288.3731
49606.538690,579.260128,1.171444,49607.710135,580.431573,49606.538690,579.260128,index_open,n/a,,,2,1,33,1,manual,290.0760,291.2474
49609.360689,582.082127,1.003636,49610.364324,583.085762,49609.360689,582.082127,index_open,n/a,,,2,1,34,1,manual,292.8980,293.9016
