onset_lsl,onset_s,duration_s,end_lsl,end_s,event_lsl_ts,event_time_s,type,channel,confidence,notes,finger_id,action_id,trial_id,block_id,source,onset_rel_s,end_rel_s
41425.828722,121.083066,10.155217,41435.983940,131.238284,41425.828722,121.083066,rest,n/a,,,0,0,1,0,manual,121.0831,131.2383
41446.127218,141.381562,10.179217,41456.306435,151.560779,41446.127218,141.381562,rest,n/a,,,0,0,2,0,manual,141.3816,151.5608
41577.860582,273.114926,1.974399,41579.834981,275.089325,41577.860582,273.114926,thumb_open,n/a,,,1,1,3,0,manual,273.1149,275.0893
41604.464841,299.719186,0.944738,41605.409580,300.663924,41604.464841,299.719186,none_open,n/a,,,0,1,4,0,manual,299.7192,300.6639
41605.439026,300.693370,0.077164,41605.516190,300.770534,41605.439026,300.693370,thumb_open,n/a,,,1,1,5,0,manual,300.6934,300.7705
41607.478136,302.732480,0.869528,41608.347664,303.602008,41607.478136,302.732480,thumb_open,n/a,,,1,1,6,0,manual,302.7325,303.6020
41610.204512,305.458856,0.619953,41610.824465,306.078809,41610.204512,305.458856,thumb_open,n/a,,,1,1,7,0,manual,305.4589,306.0788
41611.554432,306.808777,0.096812,41611.651244,306.905588,41611.554432,306.808777,none_open,n/a,,,0,1,8,0,manual,306.8088,306.9056
41612.752177,308.006521,0.484479,41613.236656,308.491000,41612.752177,308.006521,thumb_open,n/a,,,1,1,9,0,manual,308.0065,308.4910
41615.275152,310.529496,0.648174,41615.923326,311.177670,41615.275152,310.529496,thumb_open,n/a,,,1,1,10,0,manual,310.5295,311.1777
41624.646083,319.900427,0.519618,41625.165701,320.420045,41624.646083,319.900427,thumb_open,n/a,,,1,1,11,0,manual,319.9004,320.4200
41627.021365,322.275709,0.608935,41627.630300,322.884644,41627.021365,322.275709,thumb_open,n/a,,,1,1,12,0,manual,322.2757,322.8846
41629.695961,324.950305,0.651729,41630.347689,325.602034,41629.695961,324.950305,thumb_open,n/a,,,1,1,13,0,manual,324.9503,325.6020
41632.286833,327.541177,0.735816,41633.022650,328.276994,41632.286833,327.541177,thumb_open,n/a,,,1,1,14,0,manual,327.5412,328.2770
41634.975421,330.229765,0.656481,41635.631902,330.886246,41634.975421,330.229765,thumb_open,n/a,,,1,1,15,0,manual,330.2298,330.8862
