onset_s,duration_s,type,channel,confidence,notes,finger_id,action_id,trial_id,block_id,source
8.6135,47.1348,rest,n/a,,,0,0,1,0,manual
68.1988,24.9626,rest,n/a,,,0,0,2,0,manual
209.0981,2.3663,none_open,n/a,,,0,1,3,0,manual
221.6736,1.6661,thumb_open,n/a,,,1,1,4,0,manual
228.9571,1.5046,thumb_open,n/a,,,1,1,5,0,manual
234.7151,1.8595,thumb_open,n/a,,,1,1,6,0,manual
240.0361,2.0400,none_open,n/a,,,0,1,7,0,manual
247.1836,1.6313,thumb_open,n/a,,,1,1,8,0,manual
252.6817,1.6246,thumb_open,n/a,,,1,1,9,0,manual
277.3417,1.4951,thumb_close,n/a,,,1,2,10,0,manual
283.4610,1.6749,thumb_close,n/a,,,1,2,11,0,manual
290.2531,1.6447,thumb_close,n/a,,,1,2,12,0,manual
304.6940,1.5135,thumb_close,n/a,,,1,2,13,0,manual
311.2473,1.8035,thumb_close,n/a,,,1,2,14,0,manual
318.4767,1.7238,thumb_close,n/a,,,1,2,15,0,manual
324.6935,1.6186,thumb_close,n/a,,,1,2,16,0,manual
336.8752,1.2998,index_open,n/a,,,2,1,17,0,manual
342.6616,1.6859,index_open,n/a,,,2,1,18,0,manual
348.4831,1.7644,none_open,n/a,,,0,1,19,0,manual
350.2841,0.0340,index_open,n/a,,,2,1,20,0,manual
353.9422,1.7612,index_open,n/a,,,2,1,21,0,manual
359.2483,1.3723,index_open,n/a,,,2,1,22,0,manual
368.1409,1.6626,index_close,n/a,,,2,2,23,0,manual
373.6487,1.5584,index_close,n/a,,,2,2,24,0,manual
378.0945,2.3357,none_close,n/a,,,0,2,25,0,manual
385.8321,1.5950,index_close,n/a,,,2,2,26,0,manual
394.0092,1.2448,index_close,n/a,,,2,2,27,0,manual
404.7822,1.6585,middle_open,n/a,,,3,1,28,0,manual
410.7659,1.7898,middle_open,n/a,,,3,1,29,0,manual
416.0949,1.6482,middle_open,n/a,,,3,1,30,0,manual
421.9676,1.7521,middle_open,n/a,,,3,1,31,0,manual
428.3235,1.6522,middle_open,n/a,,,3,1,32,0,manual
434.4299,1.4244,none_open,n/a,,,0,1,33,0,manual
448.7987,1.7837,middle_open,n/a,,,3,1,34,0,manual
459.4115,1.8201,middle_close,n/a,,,3,2,35,0,manual
465.8744,1.8395,middle_close,n/a,,,3,2,36,0,manual
472.7064,1.7979,none_close,n/a,,,0,2,37,0,manual
478.8743,1.5573,middle_close,n/a,,,3,2,38,0,manual
484.9395,1.6853,middle_close,n/a,,,3,2,39,0,manual
506.3590,1.4600,ring_open,n/a,,,4,1,40,0,manual
511.2280,1.7156,ring_open,n/a,,,4,1,41,0,manual
517.0764,1.8188,ring_open,n/a,,,4,1,42,0,manual
523.3932,1.1075,ring_open,n/a,,,4,1,43,0,manual
527.3757,2.6758,none_open,n/a,,,0,1,44,0,manual
534.9581,65.5994,artifact,n/a,,,0,0,45,0,manual
605.7328,1.7600,ring_open,n/a,,,4,1,46,0,manual
611.5456,1.7021,ring_open,n/a,,,4,1,47,0,manual
619.6392,1.4681,none_close,n/a,,,0,2,48,0,manual
629.6726,1.6438,ring_close,n/a,,,4,2,49,0,manual
636.8280,1.4958,none_close,n/a,,,0,2,50,0,manual
642.2202,1.6642,ring_close,n/a,,,4,2,51,0,manual
650.4154,1.7314,ring_close,n/a,,,4,2,52,0,manual
655.9689,1.6389,ring_close,n/a,,,4,2,53,0,manual
662.3560,1.6255,ring_close,n/a,,,4,2,54,0,manual
680.0536,1.6711,pinky_open,n/a,,,5,1,55,0,manual
685.8483,1.8161,pinky_open,n/a,,,5,1,56,0,manual
693.4281,1.6071,pinky_open,n/a,,,5,1,57,0,manual
699.3610,1.6559,none_open,n/a,,,0,1,58,0,manual
704.3600,1.6610,pinky_open,n/a,,,5,1,59,0,manual
709.3321,1.5276,pinky_open,n/a,,,5,1,60,0,manual
719.4151,1.6971,pinky_close,n/a,,,5,2,61,0,manual
724.9321,1.7368,pinky_close,n/a,,,5,2,62,0,manual
730.5516,2.9507,none_close,n/a,,,0,2,63,0,manual
737.1760,1.6956,pinky_close,n/a,,,5,2,64,0,manual
742.0649,1.4677,pinky_close,n/a,,,5,2,65,0,manual
751.8507,1.7106,pinky_close,n/a,,,5,2,66,0,manual
756.9173,5.3089,artifact,n/a,,,0,0,67,0,manual
