lsl_timestamp,ch1,ch2,ch3,ch4
753364.1137933824,-55.17578125,-19.53125,-17.08984375,-41.50390625,-131.34765625
753364.1188322279,-111.328125,-31.73828125,-9.765625,-43.45703125,65.4296875
753364.1238710734,-80.56640625,-53.22265625,-39.0625,-22.4609375,-226.5625
753364.1289099188,-10.25390625,-47.8515625,-66.89453125,8.7890625,-480.46875
753364.1339487643,-22.4609375,-15.625,-28.3203125,-7.8125,-179.6875
753364.1389876098,-81.0546875,-14.16015625,-4.39453125,-27.34375,543.9453125
753364.1440264552,-110.83984375,-31.25,-27.83203125,-44.921875,41.015625
753364.1490653007,-74.21875,-43.45703125,-29.296875,-36.62109375,-690.4296875
753364.1541041462,-48.828125,-48.828125,-13.18359375,3.41796875,-268.06640625
753364.1591429916,-89.35546875,-39.0625,-14.16015625,-25.390625,-208.0078125
753364.1641818371,-120.1171875,-32.2265625,-12.6953125,-50.78125,-525.390625
753364.1455030224,-69.3359375,-27.83203125,-12.20703125,-20.01953125,-490.234375
753364.1491819411,-47.36328125,-30.76171875,-17.578125,-18.06640625,-43.45703125
753364.1528608598,-63.4765625,-31.73828125,-1.46484375,-26.85546875,173.33984375
753364.1565397785,-106.93359375,-20.99609375,3.41796875,-27.34375,-119.140625
753364.1602186972,-102.5390625,-27.34375,-22.94921875,-13.18359375,-353.515625
753364.1638976159,-47.36328125,-44.43359375,-33.69140625,-19.53125,176.7578125
753364.1675765346,-60.546875,-42.96875,-22.94921875,-21.97265625,342.28515625
753364.1712554533,-128.41796875,-38.57421875,-32.2265625,-27.34375,-409.66796875
753364.174934372,-166.9921875,-25.87890625,-46.38671875,-41.50390625,-290.0390625
753364.1786132907,-114.2578125,-20.01953125,-31.73828125,-13.18359375,-284.66796875
753364.1822922094,-75.68359375,-12.20703125,3.41796875,14.6484375,-240.72265625
753364.185971128,-132.32421875,-17.08984375,-4.8828125,-13.671875,-210.44921875
753364.1896500468,-161.1328125,-41.015625,-21.484375,-36.62109375,-100.09765625
753364.1933289655,-100.5859375,-33.69140625,-33.69140625,-6.34765625,592.28515625
753364.1970078842,-52.734375,-17.578125,-40.0390625,10.25390625,446.2890625
753364.2006868029,-86.9140625,-22.4609375,-50.29296875,-6.8359375,-254.8828125
753364.2043657216,-117.1875,-15.13671875,-47.8515625,-15.13671875,-137.6953125
753364.2080446403,-59.5703125,-14.16015625,-12.20703125,-4.39453125,454.58984375
753364.211723559,1.953125,-20.5078125,-13.671875,-3.90625,-107.421875
753364.2154024777,-31.25,-5.859375,-17.08984375,-9.27734375,-514.16015625
753364.2199430595,-79.1015625,-14.6484375,-15.625,-17.08984375,-253.41796875
753364.2236534422,-41.015625,-38.0859375,-21.97265625,-8.30078125,-504.39453125
753364.227363825,28.80859375,-26.85546875,-20.99609375,10.7421875,-501.953125
753364.2310742077,36.1328125,-12.20703125,-7.8125,18.5546875,-176.7578125
753364.2347845904,-33.203125,-19.04296875,-15.625,-25.87890625,-157.71484375
753364.2384949732,-46.38671875,-19.53125,-22.4609375,-37.109375,-193.84765625
753364.2422053559,13.18359375,-7.32421875,-25.390625,7.8125,-40.0390625
753364.2459157386,24.90234375,-13.18359375,-41.50390625,8.30078125,-285.15625
753364.2496261214,-8.7890625,-9.765625,-37.109375,8.30078125,54.19921875
753364.2533365041,-53.22265625,0.48828125,-40.0390625,-12.6953125,250.0
753364.2570468868,-39.55078125,-27.34375,-45.8984375,-45.8984375,-393.06640625
753364.2607572696,0.9765625,-25.87890625,-50.78125,-35.64453125,-166.50390625
753364.2644676523,-30.2734375,-11.23046875,-54.19921875,-33.203125,57.12890625
753364.268178035,-93.26171875,-20.01953125,-33.203125,-60.05859375,-242.67578125
753364.2718884178,-71.2890625,-24.4140625,-11.71875,-53.22265625,-646.484375
753364.2755988005,9.765625,-20.5078125,-7.32421875,-20.01953125,-434.08203125
753364.2793091832,4.8828125,-14.6484375,1.953125,-24.4140625,122.55859375
753364.283019566,-68.84765625,-16.6015625,-6.34765625,-49.8046875,-92.7734375
753364.2867299487,-88.37890625,-38.57421875,-28.80859375,-57.12890625,-355.46875
753364.2904403314,-23.92578125,-34.66796875,-34.1796875,-38.57421875,-52.24609375
753364.3001738347,-19.53125,-14.16015625,-37.59765625,-29.78515625,100.5859375
753364.302697763,-79.58984375,-26.85546875,-30.2734375,-45.41015625,-359.86328125
753364.3052216913,-65.4296875,-27.83203125,-35.15625,-23.4375,-516.6015625
753364.3077456196,-7.32421875,-8.7890625,-44.921875,-4.8828125,55.6640625
753364.3102695479,-18.06640625,-2.9296875,-29.78515625,-13.671875,552.734375
753364.3127934762,-79.58984375,-7.8125,-20.5078125,-36.62109375,-42.96875
753364.3153174045,-125.48828125,-30.76171875,-35.15625,-62.5,-456.0546875
753364.3178413328,-96.6796875,-35.64453125,-49.8046875,-81.0546875,-24.90234375
753364.320365261,-62.01171875,-27.34375,-55.17578125,-81.0546875,73.2421875
753364.3228891894,-104.00390625,-36.62109375,-31.25,-65.91796875,-176.7578125
753364.3254131177,-132.8125,-39.0625,-23.92578125,-71.77734375,-174.8046875
753364.327937046,-84.9609375,-32.71484375,-55.6640625,-53.7109375,176.7578125
753364.3304609742,-6.34765625,-16.6015625,-34.1796875,-8.7890625,304.6875
753364.3329849025,-8.30078125,-17.578125,2.9296875,-4.8828125,-433.59375
753364.3355088308,-65.4296875,-30.76171875,-10.7421875,-29.78515625,-668.9453125
753364.3380327591,-62.98828125,-35.64453125,-40.52734375,-30.76171875,-568.359375
753364.3405566874,-6.34765625,-41.9921875,-47.8515625,-14.6484375,-470.21484375
753364.3430806157,14.6484375,-52.24609375,-36.62109375,-15.13671875,-440.91796875
753364.345604544,-44.921875,-44.921875,-23.4375,-32.71484375,-360.3515625
753364.3481284723,-68.359375,-22.4609375,-19.04296875,-28.80859375,-263.18359375
753364.3741369863,9.765625,-6.8359375,-16.6015625,6.8359375,-273.92578125
753364.3778763709,54.6875,-16.11328125,-16.11328125,23.92578125,35.64453125
753364.3816157555,0.48828125,-28.80859375,-26.85546875,0.48828125,369.62890625
753364.3853551401,-59.08203125,-23.92578125,-26.3671875,-5.37109375,716.796875
753364.3890945247,-24.90234375,-16.6015625,-20.5078125,6.34765625,353.02734375
753364.3928339093,18.06640625,-20.5078125,-13.18359375,3.41796875,-449.70703125
753364.3965732938,-25.87890625,-25.87890625,-47.36328125,-15.13671875,-544.921875
753364.4003126784,-72.265625,-22.4609375,-58.59375,-32.2265625,-575.68359375
753364.404052063,-57.6171875,-30.2734375,-24.90234375,-24.90234375,-622.55859375
753364.4077914476,10.25390625,-35.64453125,-36.1328125,-19.53125,-512.6953125
753364.4115308322,7.32421875,-42.48046875,-33.69140625,-31.25,-315.4296875
753364.4152702168,-78.125,-49.8046875,0.0,-39.0625,-378.90625
753364.4190096013,-77.63671875,-36.1328125,9.27734375,-36.1328125,-561.5234375
753364.4227489859,2.44140625,-29.296875,-13.671875,-33.203125,-431.15234375
753364.4264883705,37.59765625,-33.69140625,-41.50390625,-26.3671875,334.9609375
753364.4302277551,-9.27734375,-49.8046875,-23.92578125,-24.4140625,452.1484375
753364.4339671397,-38.0859375,-52.24609375,14.16015625,-33.203125,-365.72265625
753364.4377065243,-3.90625,-25.87890625,4.39453125,-41.50390625,-589.35546875
753364.4414459089,21.97265625,-6.8359375,-40.52734375,-39.0625,-257.8125
753364.4451852934,-20.99609375,-17.08984375,-40.0390625,-43.45703125,-253.90625
753364.4642254816,-63.4765625,-32.71484375,-23.92578125,-45.8984375,-563.4765625
753364.4692512355,-15.13671875,-15.13671875,-41.9921875,-36.1328125,-471.19140625
753364.4742769893,29.78515625,-21.484375,-33.69140625,-47.8515625,-438.96484375
753364.4793027432,6.34765625,-47.36328125,-8.30078125,-65.4296875,-385.7421875
753364.4843284971,-8.7890625,-37.59765625,-12.6953125,-52.734375,-346.6796875
753364.489354251,17.08984375,-30.2734375,-41.9921875,-29.296875,-54.6875
753364.4943800048,61.03515625,-34.1796875,-20.5078125,-26.85546875,382.32421875
753364.4994057587,61.5234375,-17.578125,15.625,-33.69140625,-207.51953125
753364.5044315126,1.953125,-2.9296875,-18.06640625,-39.55078125,-643.06640625
753364.5094572664,-9.27734375,-9.765625,-67.3828125,-33.69140625,-240.72265625
753364.5144830203,38.57421875,-11.71875,-30.76171875,-30.76171875,250.0
753364.5195087742,40.0390625,-7.8125,-5.37109375,-57.12890625,-260.25390625
753364.524534528,-13.671875,-7.8125,-13.671875,-99.12109375,-801.26953125
753364.5295602819,-66.89453125,-10.25390625,-17.08984375,-124.0234375,-546.38671875
753364.5345860358,-41.50390625,-6.34765625,-29.296875,-126.46484375,-441.40625
753364.5396117896,-1.46484375,-26.3671875,-55.17578125,-135.25390625,-641.6015625
753364.5446375435,-49.8046875,-41.50390625,-36.62109375,-174.8046875,-586.42578125
753364.5496632974,-136.23046875,-20.99609375,-12.20703125,-212.890625,-489.74609375
753364.5546890512,-125.0,-4.8828125,-43.45703125,-230.46875,-435.05859375
753364.5597148051,-77.63671875,-1.953125,-46.38671875,-246.09375,-405.2734375
753364.534063996,-100.09765625,-11.71875,-14.16015625,-284.66796875,-626.46484375
753364.5377237463,-146.97265625,-21.97265625,24.90234375,-302.24609375,-283.69140625
753364.5413834965,-154.78515625,-29.78515625,28.3203125,-291.9921875,-262.20703125
753364.5450432467,-89.84375,-13.671875,1.953125,-282.2265625,-899.90234375
753364.5487029969,-99.609375,-13.18359375,8.7890625,-295.8984375,-755.37109375
753364.5523627471,-158.69140625,-6.34765625,35.64453125,-307.6171875,-427.24609375
753364.5560224974,-140.13671875,-4.39453125,39.0625,-299.31640625,-663.0859375
753364.5596822476,-96.19140625,-44.43359375,30.2734375,-301.26953125,-503.90625
753364.5633419978,-71.2890625,-48.828125,44.43359375,-288.57421875,-190.4296875
753364.567001748,-66.40625,-26.3671875,34.1796875,-251.46484375,166.9921875
753364.5706614982,-68.359375,-42.96875,26.85546875,-229.98046875,165.0390625
753364.5743212485,-40.52734375,-67.87109375,46.38671875,-231.4453125,-759.27734375
753364.5779809987,19.53125,-74.70703125,70.80078125,-207.51953125,-853.515625
753364.5816407489,11.23046875,-84.47265625,97.65625,-191.40625,-682.6171875
753364.5853004991,-23.4375,-90.33203125,82.03125,-186.03515625,-1000.0
753364.5889602493,41.50390625,-62.01171875,62.01171875,-134.27734375,-1000.0
753364.5926199995,118.65234375,-27.34375,60.546875,-83.0078125,-805.17578125
753364.5962797498,107.91015625,-33.203125,76.171875,-78.61328125,-783.69140625
753364.5999395,44.921875,-64.94140625,66.89453125,-105.95703125,-1000.0
753364.6035992502,52.734375,-94.23828125,56.640625,-112.3046875,-1000.0
753364.62056507,146.97265625,-100.09765625,76.171875,-66.40625,-899.4140625
753364.6239638128,170.41015625,-77.63671875,79.58984375,-38.57421875,-791.50390625
753364.6273625557,115.234375,-68.359375,55.6640625,-40.52734375,-949.70703125
753364.6307612986,98.14453125,-76.171875,24.90234375,-36.1328125,-1000.0
753364.6341600415,159.66796875,-62.98828125,48.33984375,-0.48828125,-719.23828125
753364.6375587843,190.91796875,-65.91796875,65.91796875,21.484375,-666.015625
753364.6409575272,154.296875,-67.87109375,68.84765625,13.671875,-1000.0
753364.6443562701,125.48828125,-41.9921875,96.19140625,15.625,-1000.0
753364.647755013,138.671875,-50.78125,67.3828125,48.33984375,-809.5703125
753364.6511537558,182.12890625,-55.6640625,32.2265625,94.23828125,-853.515625
753364.6545524987,159.1796875,-53.7109375,24.4140625,109.375,-1000.0
753364.6579512416,83.984375,-78.125,3.90625,83.0078125,-915.52734375
753364.6613499845,92.28515625,-69.82421875,9.27734375,70.3125,-770.99609375
753364.6647487273,138.18359375,-58.59375,26.3671875,62.98828125,-900.390625
753364.6681474702,125.9765625,-54.19921875,28.80859375,45.8984375,-971.19140625
753364.6715462131,82.03125,-41.015625,11.71875,42.96875,-994.62890625
753364.674944956,65.4296875,-44.43359375,0.9765625,25.390625,-791.50390625
753364.6783436988,107.91015625,-52.734375,26.3671875,36.62109375,-865.72265625
753364.6817424417,125.0,-49.31640625,19.53125,63.96484375,-1000.0
753364.6851411846,65.4296875,-30.76171875,-30.2734375,43.9453125,-990.72265625
753364.687381467,32.2265625,-29.78515625,-25.390625,25.390625,-1000.0
753364.6912643181,83.984375,-22.94921875,36.62109375,37.109375,-1000.0
753364.6951471692,108.3984375,-24.4140625,48.828125,51.26953125,-1000.0
753364.6990300203,42.48046875,-37.59765625,11.71875,47.36328125,-1000.0
753364.7029128714,-15.625,-35.15625,-9.765625,25.87890625,-1000.0
753364.7067957225,10.7421875,-35.64453125,-28.3203125,37.109375,-979.00390625
753364.7106785736,43.45703125,-41.9921875,-32.2265625,42.48046875,-1000.0
753364.7145614247,-1.953125,-45.41015625,8.7890625,21.484375,-691.40625
753364.7184442758,-62.5,-40.52734375,20.99609375,7.32421875,-566.40625
753364.7223271269,-61.5234375,-25.390625,-7.8125,8.7890625,-1000.0
753364.726209978,-20.01953125,-25.390625,-19.04296875,10.25390625,-1000.0
753364.7300928291,-35.15625,-33.69140625,-24.90234375,-6.8359375,-900.390625
753364.7339756802,-92.28515625,-29.78515625,-30.2734375,-10.25390625,-927.24609375
753364.7378585313,-73.2421875,-19.53125,-34.66796875,21.484375,-1000.0
753364.7417413824,-33.203125,2.9296875,-24.4140625,22.94921875,-945.3125
753364.7456242335,-33.203125,-15.13671875,-31.25,-1.953125,-826.66015625
753364.7495070846,-82.03125,-27.83203125,-38.57421875,-19.04296875,-954.58984375
753364.7533899357,-130.37109375,-10.25390625,-54.6875,-48.33984375,-1000.0
753364.7572727868,-87.890625,-17.578125,-32.2265625,-37.109375,-992.67578125
753364.7611556379,-49.31640625,-21.484375,-20.99609375,-1.46484375,-294.921875
753364.7612318163,-59.5703125,-17.08984375,-50.29296875,1.46484375,-311.03515625
753364.7647239829,-81.54296875,-15.625,-43.45703125,-15.625,-1000.0
753364.7682161495,-30.2734375,-13.18359375,-33.69140625,10.25390625,-993.65234375
753364.7717083162,27.34375,-4.8828125,-53.7109375,20.5078125,-977.05078125
753364.7752004828,-8.7890625,-6.34765625,-42.96875,-2.9296875,-1000.0
753364.7786926494,-59.5703125,-2.9296875,-12.20703125,0.48828125,-979.98046875
753364.7821848161,-36.1328125,-3.90625,-47.8515625,11.23046875,-830.078125
753364.7856769827,30.76171875,-21.97265625,-71.77734375,34.1796875,-878.41796875
753364.7891691494,13.18359375,-26.3671875,-42.48046875,43.9453125,-988.28125
753364.792661316,-58.59375,-9.27734375,-34.1796875,29.296875,-1000.0
753364.7961534826,-85.44921875,-16.11328125,-25.87890625,29.78515625,-568.84765625
753364.7996456493,-35.64453125,-27.34375,-32.2265625,54.19921875,-359.375
753364.8031378159,14.16015625,-14.6484375,-51.26953125,37.109375,-1000.0
753364.8066299825,-27.34375,-17.578125,-56.640625,11.23046875,-1000.0
753364.8101221492,-33.69140625,-10.7421875,-20.99609375,33.203125,-965.8203125
753364.8136143158,-0.9765625,-8.30078125,9.765625,44.921875,-991.2109375
753364.8171064825,3.41796875,-14.6484375,-10.7421875,35.15625,-936.03515625
753364.8205986491,-37.59765625,-17.578125,-26.85546875,14.16015625,-941.40625
753364.8240908157,-91.30859375,-32.71484375,-30.2734375,0.0,-831.54296875
753364.8275829824,-49.8046875,-25.87890625,-26.3671875,31.73828125,-773.92578125
753364.8437505384,20.99609375,-14.16015625,-35.64453125,34.66796875,-839.35546875
753364.8482201432,11.23046875,-33.69140625,-58.10546875,-7.8125,-784.66796875
753364.852689748,-27.34375,-26.3671875,-31.73828125,-3.90625,123.046875
753364.8571593529,-42.96875,0.48828125,-1.953125,4.39453125,477.05078125
753364.8616289577,-15.13671875,-5.859375,-0.9765625,-3.90625,-525.87890625
753364.8660985625,-6.34765625,-15.625,-8.7890625,-10.7421875,-879.8828125
753364.8705681673,-44.921875,-15.625,-27.83203125,-30.76171875,-865.72265625
753364.8750377721,-45.41015625,-0.9765625,-46.875,-8.7890625,-1000.0
753364.8795073769,-11.23046875,-10.25390625,-41.015625,12.20703125,-932.12890625
753364.8839769817,-18.06640625,-37.109375,-31.73828125,-13.671875,-741.2109375
753364.8884465866,-51.7578125,-26.85546875,-50.29296875,-31.25,-789.55078125
753364.8929161914,-83.49609375,-26.85546875,-67.87109375,-41.015625,-898.92578125
753364.8973857962,-62.01171875,-29.296875,-50.29296875,-42.96875,-1000.0
753364.901855401,-21.484375,-7.32421875,-29.296875,-31.25,-570.80078125
753364.9063250058,-36.1328125,-1.46484375,-20.5078125,-37.109375,-341.30859375
753364.9107946106,-72.265625,-5.37109375,-14.16015625,-47.8515625,-575.68359375
753364.9152642154,-63.96484375,-12.6953125,-3.41796875,-38.57421875,-609.86328125
753364.9197338203,-23.4375,-26.85546875,-17.08984375,-18.5546875,-209.47265625
753364.9242034251,-23.4375,-20.99609375,-12.20703125,-3.90625,58.10546875
