onset_s,duration_s,type,channel,confidence,notes,finger_id,action_id,trial_id,block_id,source
19.8780,0.0761,none_close,n/a,,,0,2,1,2,manual
20.6171,0.0661,none_close,n/a,,,0,2,2,2,manual
21.3168,0.0860,none_close,n/a,,,0,2,3,2,manual
21.6591,0.0696,none_open,n/a,,,0,1,4,2,manual
22.0357,0.0518,none_open,n/a,,,0,1,5,2,manual
22.4003,0.0720,none_open,n/a,,,0,1,6,2,manual
22.9558,0.0781,none_open,n/a,,,0,1,7,2,manual
23.5539,0.1022,none_open,n/a,,,0,1,8,2,manual
25.9756,0.0745,artifact,n/a,,,0,0,9,2,manual
31.6128,0.0762,none_open,n/a,,,0,1,10,2,manual
32.1455,0.0596,none_open,n/a,,,0,1,11,2,manual
33.1172,0.0852,none_open,n/a,,,0,1,12,2,manual
33.6028,0.1060,none_open,n/a,,,0,1,13,2,manual
34.8737,0.0932,none_close,n/a,,,0,2,14,2,manual
35.6611,0.1392,none_close,n/a,,,0,2,15,2,manual
36.7758,0.0851,artifact,n/a,,,0,0,16,2,manual
38.1046,0.0964,artifact,n/a,,,0,0,17,2,manual
41.2962,0.0874,artifact,n/a,,,0,0,18,2,manual
41.6804,0.0803,artifact,n/a,,,0,0,19,2,manual
43.0887,0.0647,rest,n/a,,,0,0,20,2,manual
43.9391,0.0637,rest,n/a,,,0,0,21,2,manual
46.2272,0.0897,artifact,n/a,,,0,0,22,2,manual
46.9839,0.0827,none_open,n/a,,,0,1,23,2,manual
49.5995,0.0952,none_open,n/a,,,0,1,24,2,manual
50.9533,0.0817,none_close,n/a,,,0,2,25,2,manual
52.4420,0.0755,none_close,n/a,,,0,2,26,2,manual
55.3238,0.0843,none_close,n/a,,,0,2,27,2,manual
55.8139,0.1083,pinky_open,n/a,,,5,1,28,2,manual
