onset_s,duration_s,type,channel,confidence,notes,finger_id,action_id,trial_id,block_id,source
83.1447,10.1141,rest,n/a,,,0,0,1,2,manual
114.2420,9.9616,rest,n/a,,,0,0,2,2,manual
179.0613,10.3358,rest,n/a,,,0,0,4,2,manual
267.6387,0.9359,thumb_open,n/a,,,1,1,5,2,manual
276.0279,0.7801,thumb_open,n/a,,,1,1,6,2,manual
283.1392,0.9055,thumb_open,n/a,,,1,1,7,2,manual
287.9631,1.2002,thumb_open,n/a,,,1,1,8,2,manual
291.8832,1.2006,thumb_open,n/a,,,1,1,9,2,manual
296.0179,0.9448,thumb_open,n/a,,,1,1,10,2,manual
299.3830,1.2388,thumb_open,n/a,,,1,1,11,2,manual
303.0930,1.3161,thumb_open,n/a,,,1,1,12,2,manual
306.1521,1.0480,thumb_open,n/a,,,1,1,13,2,manual
308.9752,0.9424,thumb_open,n/a,,,1,1,14,2,manual
320.1121,1.0647,thumb_open,n/a,,,1,1,15,2,manual
339.1149,0.6371,index_open,n/a,,,2,1,16,2,manual
341.6269,0.6127,index_open,n/a,,,2,1,17,2,manual
343.8278,0.8523,index_open,n/a,,,2,1,18,2,manual
346.6774,0.8173,index_open,n/a,,,2,1,19,2,manual
349.3112,0.6648,index_open,n/a,,,2,1,20,2,manual
351.6976,0.8357,index_open,n/a,,,2,1,21,2,manual
354.2494,1.1611,index_open,n/a,,,2,1,22,2,manual
357.0527,1.0181,index_open,n/a,,,2,1,23,2,manual
359.8890,0.8969,index_open,n/a,,,2,1,24,2,manual
362.5714,0.9332,index_open,n/a,,,2,1,25,2,manual
386.9760,0.5595,middle_open,n/a,,,3,1,27,2,manual
389.4025,0.6237,middle_open,n/a,,,3,1,28,2,manual
391.5577,0.8249,middle_open,n/a,,,3,1,29,2,manual
393.7530,0.8770,middle_open,n/a,,,3,1,30,2,manual
395.9182,0.5918,middle_open,n/a,,,3,1,31,2,manual
398.1365,0.6651,middle_open,n/a,,,3,1,32,2,manual
400.3043,0.8240,middle_open,n/a,,,3,1,33,2,manual
401.6733,0.0561,middle_open,n/a,,,3,1,34,2,manual
405.3916,0.6807,middle_open,n/a,,,3,0,35,2,manual
407.8362,0.6757,middle_open,n/a,,,3,1,36,2,manual
410.2124,0.8294,middle_open,n/a,,,3,1,37,2,manual
412.6438,0.7126,middle_open,n/a,,,3,1,38,2,manual
483.8678,0.8827,middle_open,n/a,,,3,1,39,2,manual
503.1617,0.9126,ring_open,n/a,,,4,1,40,2,manual
506.5009,0.9406,ring_open,n/a,,,4,1,41,2,manual
509.5030,0.7982,ring_open,n/a,,,4,1,42,2,manual
512.4141,0.6331,ring_open,n/a,,,4,1,43,2,manual
514.5553,0.7439,ring_open,n/a,,,4,1,44,2,manual
516.6435,0.6846,ring_open,n/a,,,4,1,45,2,manual
518.7250,0.7351,ring_open,n/a,,,4,1,46,2,manual
520.8422,0.9095,ring_open,n/a,,,4,1,47,2,manual
523.1179,0.7562,ring_open,n/a,,,4,1,48,2,manual
528.1226,0.7817,ring_open,n/a,,,4,1,49,2,manual
530.3103,0.7836,ring_open,n/a,,,4,1,50,2,manual
548.5179,0.9413,ring_open,n/a,,,4,1,51,2,manual
558.8053,0.7840,pinky_open,n/a,,,5,1,52,2,manual
563.2604,0.6928,pinky_open,n/a,,,5,1,53,2,manual
568.2852,0.6492,pinky_open,n/a,,,5,1,54,2,manual
570.4019,0.7887,pinky_open,n/a,,,5,1,55,2,manual
572.6417,0.6664,pinky_open,n/a,,,5,1,56,2,manual
575.2125,0.7603,pinky_open,n/a,,,5,1,57,2,manual
577.3418,0.8337,pinky_open,n/a,,,5,1,58,2,manual
579.3105,0.8842,pinky_open,n/a,,,5,1,59,2,manual
581.5682,0.6349,pinky_open,n/a,,,5,1,60,2,manual
583.7970,0.6711,pinky_open,n/a,,,5,1,61,2,manual
595.3521,0.6919,pinky_open,n/a,,,5,1,62,2,manual
598.2618,0.7320,pinky_open,n/a,,,5,1,63,2,manual
679.7999,1.1913,thumb_close,n/a,,,1,2,64,2,manual
685.3683,1.4790,thumb_close,n/a,,,1,2,65,2,manual
696.4918,0.8270,thumb_close,n/a,,,1,2,66,2,manual
700.1219,1.0521,thumb_close,n/a,,,1,2,67,2,manual
703.8768,1.0199,thumb_close,n/a,,,1,2,68,2,manual
708.2401,1.2232,thumb_close,n/a,,,1,2,69,2,manual
712.4088,0.9961,thumb_close,n/a,,,1,2,70,2,manual
716.0877,1.0230,thumb_close,n/a,,,1,2,71,2,manual
731.8536,1.1558,thumb_close,n/a,,,1,2,72,2,manual
736.7432,1.0294,thumb_close,n/a,,,1,2,73,2,manual
740.5580,1.1082,thumb_close,n/a,,,1,2,74,2,manual
744.1454,1.0846,thumb_close,n/a,,,1,2,75,2,manual
747.4951,1.1455,thumb_close,n/a,,,1,2,76,2,manual
806.8592,1.0580,index_close,n/a,,,2,2,77,2,manual
810.6932,1.0255,index_close,n/a,,,2,2,78,2,manual
814.9874,1.0202,index_close,n/a,,,2,2,79,2,manual
818.3706,1.3723,index_close,n/a,,,2,2,80,2,manual
822.2528,1.0837,index_close,n/a,,,2,2,81,2,manual
825.5370,0.8981,index_close,n/a,,,2,2,82,2,manual
830.4300,1.0481,index_close,n/a,,,2,2,83,2,manual
